
GREETING_INTRODUCTION ;Wir sind die {0}.\n\nWir sind friedliche Wanderer, die Harmonie und guten Willen mit allen suchen.
TRADESANCTIONS_LIFT ;Wir heben unsere Handelssanktionen gegen Sie auf.\n\nSie scheinen viel nachgiebiger geworden zu sein. Sie haben Ihre Lektion gelernt
TRADESANCTIONS_LIFT_RESPONSE ;Das scheint für Sie von großer Bedeutung zu sein.\n\nAber nicht für uns

WAR_DECLARE ;Sie sind an der Reihe, in unser mächtiges Reich aufgenommen zu werden: Wir erklären Ihnen den KRIEG!\n\nIhre Eroberung wird schnell und vollständig sein.\n\nBitte betteln Sie nicht um Gnade - wir kennen keine
WAR_DECLARE_RESPONSE_EAGER ;Wie ironisch - wir waren gerade dabei, Ihnen den Krieg zu erklären! Wie praktisch.\n\n Und jetzt müssen Sie sterben...
WAR_DECLARE_RESPONSE_NEUTRAL ;Wie mutig von Ihnen, sich mit uns anzulegen!\n\nNatürlich sind Mut und Dummheit eng miteinander verbunden.\n\nSehr eng, in diesem Fall
WAR_DECLARE_RESPONSE_SURPRISED ;Sie stecken voller Überraschungen!\n\nAber wir freuen uns immer über einen guten Kampf.\n\nSo siegt der Starke! - das sind natürlich wir

WAR_END ;Es ist an der Zeit, diesen Krieg zu beenden. Wir werden Ihre Assimilierung später abschließen.\n\nWas sagen Sie dazu?
WAR_END_ACCEPT ;Ausnahmsweise stimmen wir Ihnen zu - dieser Krieg sollte enden.\n\nUnsere Streitkräfte ziehen sich zurück
WAR_END_REJECT ;Den Krieg beenden?!\n\nNur die Schwachen sehnen sich nach Erholung von ihren Verlusten. Die Starken drängen auf Eroberung. Sie sind die Schwachen und wir sind die Starken.\n\nDieser Krieg ist noch nicht vorbei.

GIFT_GIVE ;Wir haben ein Geschenk für Sie in Höhe von {0} Credits.\n\nEs liegt nicht in unserer Natur, so freundlich zu sein.\n\nSie wären also gut beraten, dies als einen zynischen Trick zu betrachten
GIFT_THANKS ;Vielen Dank für Ihr Geschenk.\n\nEs erinnert uns an einen besiegten Feind, der uns Tribut zollt

WARNING ;Sie wollen uns warnen?\n\nNur zu, verschwenden Sie Ihre Worte an uns
WARNING_INTELLIGENCEMISSIONS ;Wir wissen von Ihren verdeckten Missionen gegen uns.\n\nSeien Sie gewarnt, dass wir Ihnen eine Lektion in Sachen Verrat erteilen können, die Sie nie vergessen werden...\n\nStoppen Sie Ihre Missionen jetzt, solange Sie noch können
WARNING_INTELLIGENCEMISSIONS_RESPONSE_FRIENDLY ;Verdeckte Missionen gegen Sie? Wie schockierend
WARNING_INTELLIGENCEMISSIONS_RESPONSE_NEUTRAL ;Machen Sie sich keine Sorgen. Das ist nur unsere routinemäßige Überwachung Ihres Reiches.\n\nNichts Schlimmes, worüber man sich Sorgen machen müsste.
WARNING_INTELLIGENCEMISSIONS_RESPONSE_ANGRY ;Verdeckte Missionen? Das würde normalerweise auf Kriegsvorbereitungen hindeuten.\n\nAber das ist hier sicher nicht der Fall. Machen Sie sich also keine Gedanken darüber...
WARNING_ATTACKS ;Stellen Sie Ihre unverhohlenen Angriffe auf unsere Schiffe und Basen ein!\n\nMit diesen Aktionen begeben Sie sich auf sehr gefährlichen Boden. Wir warnen Sie, jetzt aufzuhören.
WARNING_ATTACKS_RESPONSE_FRIENDLY ;Angriffe auf Sie? Wir sind sehr verärgert darüber
WARNING_ATTACKS_RESPONSE_NEUTRAL ;Angriffe auf SIE?!\n\nNein, nein - unsere Schiffe haben sich gegen Angriffe durch Ihre Streitkräfte verteidigt.\n\nBitte tun Sie das nicht noch einmal
WARNING_ATTACKS_RESPONSE_ANGRY ;Angriffe?\n\nJa, wir schwächen Sie, bevor wir einen Generalangriff starten.\n\nNoch etwas, das Sie besprechen möchten?
