
INFO_NOFUNDS ;Sieht so aus, als hätten Sie nicht genug Geld, um das zu bezahlen
'DEAL_REJECTCOMPLAIN ;Dieser Vorschlag ist völlig einseitig! Wir werden ihn NICHT akzeptieren!
'DEAL_REJECTCOMPLAIN ;Tyrannisieren Sie uns nicht! Bieten Sie einen fairen Handel an und wir werden ihn vielleicht in Betracht ziehen.

MUTUALDEFENSE_ACCEPT ;Wir stimmen zu, ein gegenseitiger Verteidigungspakt mit Ihnen wäre sehr vorteilhaft.\n\nEs lebe unsere Allianz!
MUTUALDEFENSE_REJECT ;Vielen Dank für Ihr Angebot, aber wir wünschen zum jetzigen Zeitpunkt keinen gegenseitigen Verteidigungspakt
MUTUALDEFENSE_REQUESTHELP ;Wir werden von den {0} angegriffen! Wir fordern Sie auf, Ihren Vertrag mit uns zu erfüllen und ihnen den Krieg zu erklären.\n\n Werden Sie uns beistehen?
MUTUALDEFENSE_HONORREQUESTHELP ;Wir stehen an der Seite unserer Freunde und Verbündeten - wir erklären den {0} den Krieg!
MUTUALDEFENSE_HONORREQUESTHELP_RESPONSE ;Wir schätzen Ihre loyale Unterstützung sehr, mein Freund!
MUTUALDEFENSE_DECLINEREQUESTHELP ;Tut uns leid, aber Sie sind auf sich allein gestellt...
MUTUALDEFENSE_DECLINEREQUESTHELP_RESPONSE ;Wir werden nicht vergessen, wie Sie uns verräterisch im Stich gelassen haben!
PROTECTORATE_ACCEPT ;Wir nehmen Ihr Angebot für ein Protektorat dankend an!
PROTECTORATE_REJECT ;Tut uns leid, aber wir wollen im Moment nicht Teil eines Protektoratsvertrags sein
FREETRADE_ACCEPT ;Wir nehmen Ihr Angebot für ein Freihandelsabkommen gerne an!
FREETRADE_REJECT ;Tut uns leid, aber wir sind zur Zeit nicht an einem Freihandelsabkommen interessiert


SUBJUGATION_RELEASE_RESPONSE ;Endlich Freiheit!
SUBJUGATIONDEMAND_ACCEPT_RESPONSE ;Willkommen bei unseren neuen Sklaven! Eine Niederlage ist bitter, finden Sie nicht auch?
WAR_END_ACCEPT_RESPONSE ;Eine weise Entscheidung

TRADESANCTIONS_IMPOSE ;Wir verhängen Handelssanktionen gegen Sie. Mit sofortiger Wirkung wird der gesamte Handel zwischen unseren beiden Reichen eingestellt!
TRADESANCTIONS_IMPOSE_RESPONSE_ANGRY ;Das ist ein Skandal! Sie werden für diese Niederträchtigkeit bezahlen!
TRADESANCTIONS_IMPOSE_RESPONSE_NEUTRAL ;Na gut! Das wird Ihnen mehr schaden als uns!
TRADESANCTIONS_IMPOSE_RESPONSE_SURPRISED ;Handelssanktionen?! Was haben wir falsch gemacht? Ich dachte, wir wären Freunde!
TRADESANCTIONS_LIFT ;Wir heben unsere Handelssanktionen gegen Sie auf. Wir werden nun den normalen Handel wieder aufnehmen.
TRADESANCTIONS_LIFT_RESPONSE ;Huh! Wir brauchen Ihren Handelsverkehr nicht,... aber wir akzeptieren diese Änderung
TRADESANCTIONS_REQUESTLIFTOTHER ;Wir verlangen, dass Sie den Handel mit den {0} sofort wieder aufnehmen!
TRADESANCTIONS_REQUESTLIFTOTHER_ACCEPT ;Wie Sie gewünscht haben, werden wir den Handel mit den {0} wieder aufnehmen.
TRADESANCTIONS_REQUESTLIFTOTHER_REJECT ;Wir sehen keinen Grund, den Handel mit den {0} wieder aufzunehmen
TRADESANCTIONS_REQUESTIMPOSEJOINT ;Wir bitten Sie, den Handel mit den {0} einzustellen
TRADESANCTIONS_REQUESTIMPOSEJOINT_ACCEPT ;Auf Ihren Wunsch hin, beenden wir den gesamten Handel mit den {0}
TRADESANCTIONS_REQUESTIMPOSEJOINT_REJECT ;Wir sehen keine Notwendigkeit, den Handel mit den {0} zu beenden

WAR_DECLARE ;Wir erklären Ihrem wertlosen Reich formell den Krieg. Ihre Kolonien warten auf die Befreiung von Ihrer Tyrannei
'WAR_DECLARE_RESPONSE_EAGER ;Wir freuen uns darauf, Ihr wertloses Reich zu Staub zu zerschmettern!
'WAR_DECLARE_RESPONSE_NEUTRAL ;So soll es sein. Bereiten Sie Ihre Verteidigungsanlagen vor!
'WAR_DECLARE_RESPONSE_SURPRISED ;Das muss ein Irrtum sein! Was haben wir getan, um Sie zu beleidigen?! Sind wir keine Freunde mehr?

WAR_DECLARE_REQUESTJOINT ;Wir fordern Sie formell auf, den {0} den Krieg zu erklären
WAR_DECLARE_REQUESTJOINT_ACCEPT ;Auf Ihre Bitte hin erklären wir den {0} den Krieg.
WAR_DECLARE_REQUESTJOINT_REJECT ;Wir werden den {0} nicht den Krieg erklären. Kämpfen Sie Ihre eigenen Kriege!

WAR_END ;Wir schlagen vor, diesen sinnlosen Krieg zu beenden.\n\nWas sagen Sie dazu?
WAR_END_SUBJUGATIONDEMAND ;Wir sind nur dann bereit, diesen Krieg zu beenden, wenn Sie zustimmen, sich zu versklaven und sich uns zu unterwerfen.\n\nEin kleiner Preis, um Ihr Leben zu retten, meinen Sie nicht?
WAR_END_SUBJUGATIONOFFER ;Wir bieten Ihnen an, uns als Sklaven Ihres mächtigen Reiches zu unterwerfen, wenn Sie zustimmen, diesen zerstörerischen Krieg gegen uns zu beenden.\n\nIhre demütigen Sklaven warten auf Ihre Antwort - was sagen Sie?

WAR_END_REQUESTOTHER ;Bitte beenden Sie Ihren Krieg mit den {0}
WAR_END_REQUESTOTHER_ACCEPT ;Auf Ihre Bitte hin, werden wir unseren Krieg mit den {0} beenden
WAR_END_REQUESTOTHER_REJECT ;Wir werden unseren Kampf gegen die erbärmlichen {0} nicht aufgeben!

SUBJUGATIONDEMAND_ACCEPT ;Ja, wir akzeptieren die Niederlage und erkennen Ihren Status als unser Herrscher an
SUBJUGATIONDEMAND_REJECT ;Nein, wir werden Ihrer unverschämten Forderung nach Unterwerfung nicht nachkommen!
SUBJUGATIONOFFER_ACCEPT ;Gut, wir akzeptieren Ihr Eingeständnis der Niederlage. Wir freuen uns darauf, unseren regelmäßigen Tribut von Ihnen zu erhalten.\n\nGehen Sie jetzt, und versuchen Sie, nicht solche Unruhestifter zu sein!
SUBJUGATIONOFFER_REJECT ;Nein, Sie müssen weiter leiden, bevor dieser Krieg zu Ende ist

SUBJUGATION_REQUESTRELEASE ;Unser Volk leidet unter Ihrer despotischen Herrschaft! Wir bitten Sie, uns aus unserer Sklaverei zu befreien.
SUBJUGATION_RELEASE ;Wir befreien Sie aus Ihrer Sklaverei. Nutzen Sie Ihre Freiheit weise
SUBJUGATION_REFUSERELEASE ;Nein, Sie werden unsere Sklaven bleiben. Sie sind ziemlich gute Sklaven, finden Sie nicht?

WARNING ;Was ist das?
WARNING_INTELLIGENCEMISSIONS ;Wir warnen Sie, Ihre verräterischen verdeckten Missionen gegen uns sofort zu beenden! Wir werden nicht dulden, dass Sie sich weiterhin in unsere Angelegenheiten einmischen!
WARNING_INTELLIGENCEMISSIONS_RESPONSE_FRIENDLY ;Wir sind uns keiner Missionen gegen Sie bewusst, mein Freund, aber wir werden diese Situation sofort untersuchen
WARNING_INTELLIGENCEMISSIONS_RESPONSE_NEUTRAL ;Seien Sie versichert, dass wir diesen Vorfall untersuchen werden
WARNING_INTELLIGENCEMISSIONS_RESPONSE_ANGRY ;Verdeckte Missionen? Welche Missionen? Wenn es irgendwelche Missionen gäbe, würden wir sicherlich nicht mit Ihnen darüber sprechen. Aber es gibt sowieso keine Missionen... Also hören Sie auf, so paranoid zu sein!
WARNING_ATTACKS ;Wir warnen Sie offiziell, alle militärischen Angriffe gegen uns einzustellen! Wenn Sie nicht aufhören, werden wir mit überwältigender Gewalt antworten!
WARNING_ATTACKS_RESPONSE_FRIENDLY ;Wie schrecklich, wir entschuldigen uns aufrichtig für die übereifrigen Aktionen unserer militärischen Kommandeure.
WARNING_ATTACKS_RESPONSE_NEUTRAL ;Wir werden diesen Vorfall untersuchen und uns mit dem beleidigenden Militärkommandanten befassen
WARNING_ATTACKS_RESPONSE_ANGRY ;Angriffe? Wir würden unsere Zeit nicht mit Angriffen gegen ein so erbärmliches Reich wie das Ihre verschwenden.

WARNING_REMOVEFORCESSYSTEM ;Wir werden die Anwesenheit Ihrer Streitkräfte in unserem Territorium nicht dulden.\n\nZiehen Sie Ihre Militärschiffe sofort aus dem {0} System ab!
WARNING_REMOVEFORCESSYSTEM_RESPONSE_COMPLY ;Wir sehen keine Notwendigkeit, unsere Schiffe aus dem {0} System zu entfernen.
WARNING_REMOVEFORCESSYSTEM_RESPONSE_REFUSE ;Wir werden Ihrer Bitte nachkommen. Unsere Schiffe werden das {0} System verlassen.
WARNING_REMOVEFORCESSYSTEM_RESPONSE_NOFORCESPRESENT ;Sicherlich irren Sie sich? Wir haben keine militärischen Streitkräfte in Ihrem Gebiet.

HISTORY_OFFER_LOCATIONHINT ;Unsere Nachforschungen haben den Standort wichtiger historischer Gegenstände aufgedeckt.\n\nMöchten Sie mehr erfahren?
HISTORY_LOCATIONHINT ;Unsere Quellen sagen uns etwas über {0}.\n\nWichtige Gegenstände können dort gefunden werden.
HISTORY_OFFER_STORYCLUE ;Wir haben etwas Wichtiges entdeckt, von dem wir glauben, dass Sie es selbst sehen sollten.\n\nHaben wir Ihre volle Aufmerksamkeit?
HISTORY_OFFER_STORYMESSAGE ;Wir haben eine wichtige Warnung, die Sie hören sollten.\n\nHaben wir Ihre volle Aufmerksamkeit?



MININGRIGHTS_OFFER ;Wir freuen uns, Ihrem Reich Bergbaurechte innerhalb unserer Grenzen anbieten zu können.\n\nSie können nun Bergbaustationen in unserem Gebiet errichten.
MININGRIGHTS_CANCEL ;Ihre Bergbaurechte innerhalb unserer Grenzen wurden annulliert.\n\nSie müssen alle Ihre Bergbaustationen in unserem Territorium entfernen!
MILITARYREFUELING_OFFER ;Wir freuen uns, Ihren Militärschiffen zu erlauben, in unseren Kolonien und Raumhäfen aufzutanken.\n\nWir hoffen, dass Ihre Flotten diese Vereinbarung nützlich finden.
MILITARYREFUELING_CANCEL ;Ihre militärischen Betankungsrechte wurden aufgehoben.\n\nIhre Militärschiffe dürfen nicht mehr in unseren Kolonien und Raumhäfen auftanken.



CANCELPIRATEPROTECTION ;Wir wollen Ihren 'Schutz' nicht mehr. Unsere Vereinbarung mit Ihnen ist aufgehoben.
CANCELPIRATEPROTECTIONPIRATE ;Wir möchten Sie nicht länger schützen. Unsere Schutzvereinbarung mit Ihnen ist storniert.
PIRATE_PROTECTIONPROPOSE_OFFER_ACCEPT ;Wir akzeptieren Ihr Schutzangebot. Wir erklären uns bereit, {0} Credits pro Monat an Sie zu zahlen.
PIRATE_PROTECTIONPROPOSE_OFFER_REJECT ;Wir lehnen Ihr 'Schutz'-Angebot ab.

PIRATE_EXTORTPROTECTION ;Grüße an unsere Opfer! Sie haben vielleicht schon bemerkt, dass wir Sie angreifen werden. Aber für den kleinen Preis von {0} Credits pro Monat könnten wir diese unnötige Gewalt vermeiden.\n\nNatürlich hätten Sie wirklich früher zahlen sollen. Jetzt, da unser Angriff im Gange ist, haben wir keine andere Wahl, als unsere Preise zu erhöhen.\n\nSind Sie also bereit, jetzt zu zahlen?

PIRATE_TRUCEPROPOSE ;Es ist klug von Ihnen, einen Waffenstillstand mit uns zu suchen. Wenn Sie einem Waffenstillstand zustimmen, können wir Ihre Sicherheit in unserem gesamten Gebiet gewährleisten.
PIRATE_TRUCEPROPOSEINITIATE ;Wer weiß, welche versteckten Gefahren auf Sie warten, wenn Sie durch die gesetzlosen Regionen des Weltraums reisen?\n\nWenn Sie einem Waffenstillstand zustimmen, können wir Ihre Sicherheit in unserem gesamten Gebiet gewährleisten.\n\nWas sagen Sie dazu?
PIRATEN_TRUCEACCEPTRESPONSE ;Ausgezeichnet! Wir werden dafür sorgen, dass Ihre Schiffe keine 'unglücklichen Unfälle' erleiden, während unser Waffenstillstand gilt...
PIRATE_TRUCEREJECTRESPONSE ;Wie Sie wünschen. Aber ohne einen Waffenstillstand können wir nicht für Ihre Sicherheit garantieren...




'======================================
'*** DISTANT WORLDS 2 ENTRIES BELOW ***
'======================================

GREETING_INTRODUCTION ;Seien Sie gegrüßt! Wir sind die {0}
GREETING_FRIENDLY ;Teilen Sie uns Ihre Gedanken mit Freund
GREETING_NEUTRAL ;Sie wollten mit mir sprechen?
GREETING_ANGRY ;Was wollen Sie?

OFFER_DEAL ;Würden Sie diesen Handel annehmen?
OFFER_DEAL_RESPONSE ;Welche Art von Handel bieten Sie an?
'PIRATEPROTECTION_DEAL ;Wer weiß, welche versteckten Gefahren auf Sie lauern, wenn Sie durch die gesetzlosen Regionen des Weltraums reisen?\n\nFür die völlig angemessene monatliche Gebühr von {0} Credits können wir sicherstellen, dass unsere schießwütigen Schiffskapitäne jeglichen Schaden an Ihren Schiffen vermeiden.\n\nWir bitten Sie dringend, unser Angebot anzunehmen und so unglückliche Unfälle zu verhindern...
PIRATEPROTECTION_DEAL ;Es wäre schade, wenn eines Ihrer Schiffe oder eine Ihrer Basen Schaden nehmen würde.\n\nFür die geringe monatliche Gebühr von {0} Credits können wir sicherstellen, dass unsere schießwütigen Schiffskapitäne Schäden an Ihren Schiffen vermeiden.\n\nWir bitten Sie dringend, unser Angebot anzunehmen und so unglückliche Unfälle abzuwenden...
DEAL_BEGIN ;Was schlagen Sie vor?
DEAL_ACCEPT ;Wir akzeptieren Ihren Vorschlag
DEAL_ACCEPT_RESPONSE ;Ein ausgezeichnetes Ergebnis!
DEAL_REJECT_RESPONSE ;Wie enttäuschend...
DEAL_REJECT ;Dieser Vorschlag ist nicht in unserem Interesse - kein Deal

SWAP_MAPS ;Welche Art von Karte möchten Sie tauschen?
WAR_END_ACCEPT ;Wir sind uns einig, dass dieser Krieg beendet werden sollte - wir werden die Feindseligkeiten sofort einstellen
WAR_END_REJECT ;Nein, wir werden weiterkämpfen.

TREATY_ACCEPT ;Wir akzeptieren Ihr Angebot an einem {0}
TREATY_REJECT ;Nein, wir sind zu diesem Zeitpunkt nicht an einem {0} interessiert
TREATY_REJECT_TOOSOON_NEUTRAL ;Nein, wir haben kein Interesse an einem {0}. Es ist zu früh nach der letzten Änderung unserer Beziehungen
TREATY_REJECT_TOOSOON_ANGRY ;Wir haben kein Interesse an einem {0} mit Ihnen! Außerdem ist es noch zu früh nach der letzten Änderung unserer Beziehungen
TREATY_REJECT_TOOSOON_FRIENDLY ;Tut uns leid, aber wir sind nicht an einem {0} interessiert. Es ist zu früh nach der letzten Änderung unserer Beziehungen
TREATY_ACCEPT_NEUTRAL ;Wir akzeptieren Ihr Angebot an einem {0}
TREATY_REJECT_NEUTRAL ;Nein, wir sind zur Zeit nicht an einem {0} interessiert
TREATY_ACCEPT_ANGRY ;Wir akzeptieren Ihr Angebot an einem {0}
TREATY_REJECT_ANGRY ;Wir haben kein Interesse an einem {0} mit Ihnen!
TREATY_ACCEPT_FRIENDLY ;Wir nehmen Ihr Angebot an einem {0} gerne an!
TREATY_REJECT_FRIENDLY ;Tut uns leid, aber wir sind zur Zeit nicht an einem {0} interessiert

PROTECTION_ACCEPT ;Wir akzeptieren Ihre Anfrage nach Schutz. Die monatliche Gebühr beträgt {0} Credits
PROTECTION_ACCEPT_NEUTRAL ;Wir akzeptieren Ihren Antrag auf Schutz. Die monatliche Gebühr beträgt {0} Credits
PROTECTION_ACCEPT_ANGRY ;Ihre Verwundbarkeit wurde zur Kenntnis genommen. Unser 'Schutz' wird Sie {0} Credits pro Monat kosten. Sie können jetzt gehen
PROTECTION_ACCEPT_FRIENDLY ;Wir akzeptieren Ihre Bitte um Schutz. Die monatliche Gebühr beträgt {0} Credits
PROTECTION_REJECT ;Nein, wir sind zur Zeit nicht an Schutz interessiert
PROTECTION_REJECT_NEUTRAL ;Nein, wir möchten keinen Schutz mit Ihnen vereinbaren
PROTECTION_REJECT_ANGRY ;Nein, wir wollen Ihr wertloses Reich nicht schützen!
PROTECTION_REJECT_FRIENDLY ;Nein, wir wollen kein Schutzabkommen mit Ihnen

CANCELTREATY ;Wir kündigen unser {0} mit Ihnen
CANCELTREATY_RESPONSE_FRIENDLY ;Wir sind traurig, dass Sie sich entschieden haben, diese vorteilhafte Beziehung zu beenden
CANCELTREATY_RESPONSE_NEUTRAL ;Wie Sie wünschen
CANCELTREATY_RESPONSE_ANGRY ;Wir sind froh, diesen wertlosen Vertrag loszuwerden!
CANCELPROTECTION_RESPONSE_FRIENDLY ;Vielleicht ist es das Beste
CANCELPROTECTION_RESPONSE_NEUTRAL ;Wir werden diese monatlichen Credits vermissen. Vielleicht finden wir andere Wege, sie zu erhalten...
CANCELPROTECTION_RESPONSE_ANGRY ;Dummkopf! Glauben Sie wirklich, dass Sie ohne unseren 'Schutz' überleben können?!

TREATY_PROPOSAL ;Was schlagen Sie vor?
TREATY_ACCEPTRESPONSE ;Ausgezeichnet! Wir heißen unsere neuen Verbündeten willkommen
TREATY_REJECTRESPONSE ;Wie enttäuschend...
PROTECTION_ACCEPTRESPONSE ;Ausgezeichnet! Wir freuen uns auf Ihre monatlichen Zahlungen
PROTECTION_REJECTRESPONSE ;Eine törichte Entscheidung. Sie werden auf die eine oder andere Weise bezahlen...

GIFT_GIVE ;Bitte nehmen Sie dieses Geschenk von {0} Credits als Zeichen unseres guten Willens an
GIFT_THANKS_ANGRY ;Ihr bescheidenes Geschenk wurde zur Kenntnis genommen
GIFT_THANKS_NEUTRAL ;Danke für Ihr freundliches Geschenk
GIFT_THANKS_FRIENDLY ;Wir freuen uns sehr über Ihr großzügiges Geschenk!
GIFT_PROPOSE ;Was für ein Geschenk haben Sie im Sinn?

WAR_DECLARE_RESPONSE_ANGRY ;Wir freuen uns schon darauf, Ihr wertloses Reich zu Staub zu zerschlagen!
WAR_DECLARE_RESPONSE_NEUTRAL ;So soll es sein. Bereiten Sie Ihre Verteidigungsanlagen vor!
WAR_DECLARE_RESPONSE_FRIENDLY ;Das muss ein Irrtum sein! Was haben wir getan, um Sie zu beleidigen?! Sind wir keine Freunde mehr?
