
INFO_NOFUNDS				;Looks like you don't have enough money to pay for this
PIRATE_TRUCEACCEPTRESPONSE		;Excellent! We will ensure that your ships do not suffer any 'unfortunate accidents' while our truce holds...
PIRATE_TRUCEREJECTRESPONSE		;As you wish. But without a truce we cannot guarantee your safety...




'======================================
'*** DISTANT WORLDS 2 ENTRIES BELOW ***
'======================================

GREETING_INTRODUCTION			;Greetings! We are the {0}
GREETING_FRIENDLY			;Share your thoughts with us friend
GREETING_NEUTRAL			;You wanted to speak with me?
GREETING_ANGRY				;What do you want?

OFFER_DEAL				;Would you accept this trade?
OFFER_DEAL_RESPONSE		;What kind of deal are you offering?
'PIRATEPROTECTION_DEAL				;Who knows what hidden dangers await you when travelling through the lawless regions of space?\n\nFor the entirely reasonable monthly fee of {0} credits we can ensure that our trigger-happy ship captains avoid any damage to your vessels.\n\nWe urge you to accept our offer and thus avert any unfortunate accidents...
PIRATEPROTECTION_DEAL				;It would be a shame if any of your ships or bases suffered harm.\n\nFor the small monthly fee of {0} credits we can ensure that our trigger-happy ship captains avoid damaging your vessels.\n\nWe urge you to accept our offer and thus avert any unfortunate accidents...
DEAL_BEGIN				;What do you propose?
DEAL_ACCEPT				;We accept your proposal
DEAL_ACCEPT_RESPONSE		;An excellent outcome!
DEAL_REJECT_RESPONSE		;How disappointing...
DEAL_REJECT				;This proposal is not in our interests - no deal

SWAP_MAPS		;What kind of map would you like to swap?
WAR_END_ACCEPT				;We agree that this war should end - we will cease hostilities immediately
WAR_END_REJECT				;No, we will fight on.

WAR_END_ACCEPT_BECOMEVASSAL				;We agree to become your vassal. We will cease hostilities immediately and commence our monthly tribute payments
WAR_END_REJECT_BECOMEVASSAL				;No, we refuse to subjugate ourselves as your vassal.

WAR_END_ACCEPT_ACCEPTVASSAL				;We agree to your surrender and subjugation as our vassal. We look forward to your monthly tribute payments.
WAR_END_REJECT_ACCEPTVASSAL				;No, we refuse your offer of subjugation as our vassal. This war is not over yet.

TREATY_ACCEPT			;We accept your offer of {0}
TREATY_REJECT			;No, we are not interested in {0} at this time
TREATY_REJECT_TOOSOON_NEUTRAL			;No, we are not interested in {0}. It is too soon after the last change to our relations
TREATY_REJECT_TOOSOON_ANGRY			;We have no interest in {0} with you! Besides, it is too soon after the last change to our relations
TREATY_REJECT_TOOSOON_FRIENDLY			;Sorry but we are not interested in {0}. It is too soon after the last change to our relations
TREATY_ACCEPT_NEUTRAL			;We accept your offer of {0}
TREATY_REJECT_NEUTRAL			;No, we are not interested in {0} at this time
TREATY_ACCEPT_ANGRY			;We accept your offer of {0}
TREATY_REJECT_ANGRY			;We have no interest in {0} with you!
TREATY_ACCEPT_FRIENDLY			;We gladly accept your offer of {0}!
TREATY_REJECT_FRIENDLY			;Sorry, but we are not interested in {0} at this time

PROTECTION_ACCEPT		;We accept your request for protection. The monthly fee is {0} credits
PROTECTION_ACCEPT_NEUTRAL		;We accept your request for protection. The monthly fee is {0} credits
PROTECTION_ACCEPT_ANGRY		;Your weakness has been noted. Our 'protection' will cost you {0} credits per month. You may go now
PROTECTION_ACCEPT_FRIENDLY		;We accept your request for protection. The monthly fee is {0} credits
PROTECTION_REJECT			;No, we are not interested in protection at this time
PROTECTION_REJECT_NEUTRAL		;No, we don't want a Protection Arrangement with you
PROTECTION_REJECT_ANGRY		;No, we don't want to protect your worthless empire!
PROTECTION_REJECT_FRIENDLY		;No, we don't want a Protection Arrangement with you

CANCELTREATY				;We are cancelling our {0} with you
CANCELTREATY_RESPONSE_FRIENDLY		;We are saddened that you have chosen to end this beneficial relationship
CANCELTREATY_RESPONSE_NEUTRAL		;As you wish
CANCELTREATY_RESPONSE_ANGRY		;We are glad to rid ourselves of this worthless treaty!
CANCELPROTECTION_RESPONSE_FRIENDLY		;Perhaps it is for the best
CANCELPROTECTION_RESPONSE_NEUTRAL		;We will miss those monthly credits. Perhaps we will find other ways to obtain them...
CANCELPROTECTION_RESPONSE_ANGRY		;Fool! Do you really think you can survive without our 'protection'?!

TREATY_PROPOSAL				;What do you propose?
TREATY_ACCEPTRESPONSE			;Excellent! We welcome our new allies
TREATY_REJECTRESPONSE			;How disappointing...
PROTECTION_ACCEPTRESPONSE		;Excellent! We look forward to your monthly payments
PROTECTION_REJECTRESPONSE		;A foolish choice. You will pay one way or another...

GIFT_GIVE				;Please accept this gift of {0} credits as a token of our goodwill
GIFT_THANKS_ANGRY				;Your meagre gift has been noted
GIFT_THANKS_NEUTRAL				;Thank you for your kind gift
GIFT_THANKS_FRIENDLY				;We are delighted to receive your most generous gift!
GIFT_PROPOSE				;What kind of gift do you have in mind?

WAR_DECLARE_RESPONSE_ANGRY		;We eagerly anticipate crushing your worthless empire to dust!
WAR_DECLARE_RESPONSE_NEUTRAL		;So be it. Prepare your defenses!
WAR_DECLARE_RESPONSE_FRIENDLY		;There must be some mistake! What did we do to offend you?! Aren't we friends any more?
